,3251
"state/country: new york; county: st. lawrence; town/area: balmat; mine/site: zca #4, 250 foot level",1
"state/country: new york; county: st. lawrence; town/area: balmat; mine/site: zca #4, 2,500 foot level",1
state/country: sweden; county: varmland; town/area: langban; mine/site: new shaft,1
state/country: mexico; county: chihuahua; town/area: san pedrode - corralites; mine/site: n/a,1
state/country: england; county: cambria; town/area: caldbeck falls; mine/site: drygill,1
state/country: mexico; county: chihuahua; town/area: guazapares; mine/site: san jose,1
state/country: arizona; county: yuma; town/area: yuma; mine/site: hamburg,1
state/country: arizona; county: santa cruz; town/area: patagonia; mine/site: gringo gulch,1
state/country: morocco; county: tiovine district; town/area: taouz; mine/site: n/a,1
state/country: michigan; county: marquette; town/area: n/a; mine/site: black river pegmatite,1
state/country: idaho; county: lemhi; town/area: cobalt; mine/site: blackbird,1
state/country: greece; county: n/a; town/area: sterea ellas; mine/site: larium,1
state/country: nevada; county: churchill; town/area: cottonwood canyon; mine/site: n/a,1
state/country: idaho; county: lehmi; town/area: cobalt; mine/site: blackbird district,1
state/country: south ukranian republic; county: krym oblast; town/area: krym peninisula; mine/site: kerch,1
state/country: austria; county: n/a; town/area: steiermark; mine/site: klausenbruch,1
state/country: utah; county: box elder; town/area: near lucin; mine/site: n/a,1
state/country: oregon; county: n/a; town/area: hobart butte; mine/site: n/a,1
state/country: alabama; county: cherokee; town/area: rock run district; mine/site: indian mtn.,1
state/country: california; county: el dorado; town/area: slate mtn.; mine/site: n/a,1
state/country: brazil; county: amazon basin; town/area: n/a; mine/site: n/a,1
state/country: czech republic; county: n/a; town/area: kutna hora; mine/site: kank hill,1
state/country: nevada; county: eureka; town/area: fish creek range; mine/site: van nav claims,1
state/country: arkansas; county: garland; town/area: wilson springs; mine/site: union carbide vanadium,1
state/country: namibia; county: n/a; town/area: sandamab mtn. ; mine/site: n/a,1
state/country: brazil; county: minas gerias; town/area: linopolis city; mine/site: american phosphate,1
state/country: australia; county: south australia; town/area: reaphook hill; mine/site: n/a,1
state/country: russia; county: ukrania; town/area: kertsch; mine/site: n/a,1
state/country: russia; county: krasnodar krai; town/area: tanan; mine/site: n/a,1
state/country: canada; county: british columbia; town/area: n/a; mine/site: francois lake,1
state/country: germany; county: n/a; town/area: messel; mine/site: n/a,1
state/country: california; county: n/a; town/area: san francisco; mine/site: south farallon island,1
state/country: france; county: alsace; town/area: rauenthal; mine/site: gabe gottes vein,1
state/country: colorado; county: san miguel; town/area: n/a; mine/site: deremo-snyder,1
state/country: nevada; county: lander; town/area: n/a; mine/site: linke,1
state/country: brazil; county: minas gerias; town/area: itinga; mine/site: lavra de ilha,1
state/country: austria; county: carinthia; town/area: weinebene; mine/site: bromdrucken shaft,1
state/country: california; county: san benito; town/area: panache valley; mine/site: n/a,1
state/country: uzbekistan; county: n/a; town/area: utch-kuduk; mine/site: n/a,1
state/country: australia; county: south australia; town/area: robertstown; mine/site: n/a,1
state/country: senegal; county: n/a; town/area: faleme river; mine/site: kouroudaiko deposit,1
state/country: bolivia; county: n/a; town/area: llallaqua; mine/site: siglo mine,1
state/country: arkansas; county: montgomery; town/area: n/a; mine/site: n/a,1
state/country: congo; county: kivu; town/area: kobokobo; mine/site: n/a,1
state/country: australia; county: south australia; town/area: kapunda; mine/site: kapunda quarry,1
state/country: utah; county: tooele; town/area: gold hill; mine/site: u.s. mine,1
state/country: czechoslovakia; county: n/a; town/area: kutna hora; mine/site: kank,1
state/country: belgium; county: heinaut; town/area: blaton; mine/site: n/a,1
state/country: bolivia; county: potosi; town/area: llallaqua; mine/site: n/a,1
state/country: sweden; county: n/a; town/area: svappavaara; mine/site: leveanicki open pit iron,1
state/country: brazil; county: minas gerias; town/area: linopolis; mine/site: n/a,1
state/country: brazil; county: minas gerias; town/area: linopolis; mine/site: corrego frio,1
state/country: england; county: devon; town/area: tavistock; mine/site: george and charlotte,1
state/country: england; county: cornwall; town/area: tavistock; mine/site: west cribor,1
state/country: brazil; county: minas gerias; town/area: linopolis; mine/site: almerindo,1
state/country: new mexico; county: grant; town/area: tyrone; mine/site: n/a,1
state/country: arizona; county: mohave; town/area: mineral park; mine/site: n/a,1
state/country: russia; county: uzbekistan; town/area: biriuzokan; mine/site: n/a,1
state/country: nevada; county: lander; town/area: battle mtn.; mine/site: verde valley,1
state/country: australia; county: south australia; town/area: kapunda; mine/site: tom's phosphate quarry,1
state/country: bolivia; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: canada; county: yukon; town/area: n/a; mine/site: n/a,1
state/country: france; county: loire alanitque; town/area: pannece; mine/site: n/a,1
state/country: iran; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: south dakota; county: pennington; town/area: keystone; mine/site: hugo,1
state/country: arizona; county: la paz; town/area: n/a; mine/site: eagle eye,1
state/country: nevada; county: churchill; town/area: n/a; mine/site: lovelock,1
state/country: utah; county: n/a; town/area: alta ; mine/site: centennial alta,1
state/country: portugal; county: n/a; town/area: bendada; mine/site: n/a,1
state/country: north carolina; county: cleveland; town/area: king mtn. ; mine/site: foote,1
state/country: belgium; county: n/a; town/area: richelle; mine/site: n/a,1
"state/country: utah; county: tooele; town/area: n/a; mine/site: 150 ft. level, gold hill mine",1
state/country: south dakota; county: custer; town/area: n/a; mine/site: white elephant,1
state/country: france; county: herault; town/area: lodevois; mine/site: rivieral,1
state/country: france; county: haute vienne; town/area: margnac; mine/site: n/a,1
state/country: france; county: herault; town/area: lodeve ; mine/site: rivieral,1
state/country: germany; county: donnersberg; town/area: tivoli; mine/site: n/a,1
state/country: france; county: n/a; town/area: bois noirs; mine/site: n/a,1
state/country: utah; county: san juan; town/area: white canyon district; mine/site: n/a,1
state/country: gabon; county: mounana; town/area: n/a; mine/site: n/a,1
state/country: south dakota; county: n/a; town/area: keystone; mine/site: etta,1
state/country: nevada; county: white pine; town/area: n/a; mine/site: mt. wheeler,1
state/country: myanmar; county: momeik; town/area: n/a; mine/site: n/a,1
state/country: new jersey; county: sussex; town/area: sterling hill; mine/site: near edison tunnel,1
state/country: new jersey; county: sussex; town/area: franklin; mine/site: parker area,1
state/country: japan; county: honshu; town/area: kajia-kanagawa ken; mine/site: n/a,1
state/country: sweden; county: n/a; town/area: dannemorra; mine/site: n/a,1
state/country: north carolina; county: jackson; town/area: n/a; mine/site: machow,1
state/country: italy; county: cecchina; town/area: villefranca (near rome); mine/site: palumba farm,1
state/country: michigan; county: menominee; town/area: hermansville; mine/site: site 73 kimberlite,1
state/country: namibia; county: otavi; town/area: kombat; mine/site: asis mine,1
state/country: japan; county: honshu; town/area: totigi prefecture; mine/site: kaso,1
state/country: namibia; county: usakos; town/area: namib desert; mine/site: n/a,1
state/country: russia; county: karelia; town/area: shueretskoye; mine/site: n/a,1
state/country: michigan; county: marquette; town/area: n/a; mine/site: champion,1
state/country: mexico; county: chihuahua; town/area: los lamentos; mine/site: n/a,1
state/country: mexico; county: coahuilla; town/area: sierra de las cruces; mine/site: santa domingo,1
state/country: connecticut; county: n/a; town/area:  west redding; mine/site: n/a,1
state/country: brazil; county: minas gerias; town/area: nacle; mine/site: n/a,1
state/country: california; county: san diego; town/area: pala ; mine/site: himalaya,1
state/country: california; county: san diego; town/area: ramona; mine/site: little 3,1
state/country: alaska; county: n/a; town/area: n/a; mine/site: wrangell,1
state/country: arizona; county: graham; town/area: stanley; mine/site: n/a,1
state/country: russia; county: krebet sikote-alin; town/area: sinerechenskoe; mine/site: n/a,1
state/country: kazakhstan; county: kustanay obl.; town/area: rudnyy; mine/site: surbay iron mine,1
state/country: mexico; county: chihuahua; town/area: lake jaco; mine/site: n/a,1
state/country: russia; county: urals; town/area: sarany; mine/site: n/a,1
state/country: arkansas; county: hot spring; town/area: magnet cove; mine/site: kimzey calcite,1
state/country: new mexico; county: cibola; town/area: laguna; mine/site: jackpot,1
state/country: australia; county: northern territory; town/area: hart mts. ; mine/site: n/a,1
state/country: norway; county: n/a; town/area: gjerstad; mine/site: n/a,1
state/country: germany; county: saxony; town/area: schneeberg; mine/site: rotor,1
state/country: germany; county: eifel; town/area: ettringen; mine/site: bellerberg,1
state/country: nevada; county: mineral; town/area: hawthorne; mine/site: donally,1
state/country: california; county: madiera; town/area: n/a; mine/site: n/a,1
state/country: georgia; county: towns; town/area: hog creek; mine/site: n/a,1
state/country: russia; county: karelia; town/area: keivy; mine/site: n/a,1
state/country: virginia; county: n/a; town/area: dillwyn; mine/site: willis mtn.,1
state/country: scotland; county: isle of mull; town/area: loch scridain; mine/site: n/a,1
state/country: michigan; county: keweenaw; town/area: n/a; mine/site: manganese,1
state/country: england; county: devon; town/area: okehampton; mine/site: near meldon,1
state/country: england; county: devon; town/area: okehampton; mine/site: n/a,1
state/country: california; county: riverside; town/area: rancho mirage; mine/site: mirage trail,1
state/country: michigan; county: humboldt; town/area: n/a; mine/site: humboldt,1
state/country: belgium; county: ardennes; town/area: ottrez; mine/site: n/a,1
state/country: virginia; county: patrick; town/area: n/a; mine/site: n/a,1
state/country: georgia; county: fannin; town/area: n/a; mine/site: n/a,1
state/country: brazil; county: minas gerias; town/area: medina city; mine/site: n/a,1
state/country: sweden; county: n/a; town/area: vastmanland; mine/site: bastnas,1
state/country: south africa; county: north cape; town/area: kuruman; mine/site: n'chwaning,1
state/country: california; county: san diego; town/area: near alpine; mine/site: dehesa,1
state/country: arizona; county: yuma; town/area: quartzite; mine/site: n/a,1
state/country: california; county: san diego; town/area: dehesa; mine/site: n/a,1
state/country: russia; county: kola peninsula; town/area: kievy; mine/site: mt. ploskaja,1
state/country: russia; county: voronji tundry; town/area: kola peninsula; mine/site: n/a,1
state/country: california; county: mendocino; town/area: n/a; mine/site: n/a,1
"state/country: michigan; county: houghton; town/area: hancock ; mine/site: quincy, pewabic lode",1
state/country: michigan; county: keweenaw; town/area: n/a; mine/site: delaware,1
state/country: utah; county: juab; town/area: thomas range; mine/site: topaz mtn.,1
state/country: nevada; county: mineral; town/area: near hawthorne; mine/site: zapot,1
state/country: brazil; county: minas gerias; town/area: ouro prieto; mine/site: capao,1
state/country: italy; county: campania; town/area: napoli; mine/site: monte somma,1
state/country: colorado; county: fremont; town/area: cotopaxi; mine/site: n/a,1
state/country: south africa; county: cape province; town/area: n/a; mine/site: wessel,1
state/country: south west africa; county: n/a; town/area: arandis; mine/site: n/a,1
state/country: italy; county: antica; town/area: via appia; mine/site: capo di bove,1
state/country: canada; county: quebec; town/area: sheffield lake; mine/site: kipawa complex,1
state/country: mexico; county: durango; town/area: mapimi; mine/site: ojuela,1
state/country: arizona; county: n/a; town/area: n/a; mine/site: 79 mine,1
state/country: norway; county: nordmark; town/area: gjerdingen; mine/site: n/a,1
state/country: australia; county: tasmania; town/area: rosebery; mine/site: colbrook,1
state/country: michigan; county: cogebic; town/area: 8 mi nw of marinesco; mine/site: volcanic center,1
state/country: california; county: siskiyou; town/area: yreka; mine/site: n/a,1
state/country: california; county: calaveras; town/area: new melones lake; mine/site: n/a,1
state/country: russia; county: polar urais; town/area: puyva; mine/site: n/a,1
state/country: italy; county: campania; town/area: napoli; mine/site: san vito quarry,1
state/country: idaho; county: owyhee; town/area: south mtns.; mine/site: laxey,1
state/country: idaho; county: owyhee; town/area: south mountain; mine/site: laxey,1
state/country: norway; county: langesund fjord; town/area: aroy; mine/site: n/a,1
state/country: russia; county: kola peninsula; town/area: lovosero massif; mine/site: partoviechor mt.,1
state/country: norway; county: n/a; town/area: aroy; mine/site: n/a,1
state/country: canada; county: quebec; town/area: oka; mine/site: n/a,1
state/country: sweden; county: granna; town/area: nora kaar; mine/site: n/a,1
state/country: montana; county: n/a; town/area: bear paw mts.; mine/site: rocky boy stock,1
state/country: tajikistan; county: tien-shan; town/area: dara-i-pioz; mine/site: n/a,1
state/country: california; county: plumas; town/area: clio; mine/site: n/a,1
state/country: peru; county: huancavelica department; town/area: castrovirreyne; mine/site: rosario mabel,1
state/country: canada; county: nunavut; town/area: navy bend inlet; mine/site: low point,1
state/country: australia; county: northern territory; town/area: hart's range; mine/site: n/a,1
state/country: michigan; county: houghton; town/area: n/a; mine/site: n/a,1
state/country: nevada; county: washoe; town/area: n/a; mine/site: peavine mt.,1
state/country: north carolina; county: mitchell; town/area: n/a; mine/site: spider,1
state/country: tanzania; county: n/a; town/area: n/a; mine/site: mina lani,1
state/country: tanzania; county: merelani hills; town/area: n/a; mine/site: samex,1
state/country: norway; county: n/a; town/area: tvedestrand; mine/site: n/a,1
state/country: russia; county: kola peninsula; town/area: lovosero massif; mine/site: karnasurt mt.,1
"state/country: michigan; county: keweenaw; town/area: near manganese lake, 1 mi. s. of copper harbor; mine/site: manganese prospect, sec.4, t58n, r26w",1
state/country: norway; county: arendal; town/area: froland; mine/site: n/a,1
state/country: michigan; county: keweenaw; town/area: n/a; mine/site: clark,1
state/country: california; county: marin; town/area: tiburon peninsula; mine/site: paradise cove,1
state/country: california; county: plumas; town/area: taylorsville; mine/site: n/a,1
state/country: belgium; county: ardennes; town/area: salm chateaux; mine/site: n/a,1
state/country: russia; county: yakutia; town/area: river vilyui basin; mine/site: n/a,1
state/country: minnesota; county: st. louis; town/area: st. louis river; mine/site: float from bar,1
state/country: michigan; county: houghton; town/area: n/a; mine/site: larium,1
state/country: california; county: mendocino; town/area: near cloverdale; mine/site: n/a,1
state/country: michigan; county: keweenaw; town/area: copper harbor; mine/site: manganese prospect,1
state/country: china; county: hubei province; town/area: huangshi; mine/site: dayan,1
state/country: arizona; county: la paz; town/area: quartzite; mine/site: purple cow ledge,1
state/country: norway; county: n/a; town/area: larvik; mine/site: lagenedalen,1
state/country: sweden; county: n/a; town/area: norra karr; mine/site: n/a,1
state/country: california; county: santa cruz; town/area: santa cruz; mine/site: santa cruz limestone,1
state/country: russia; county: kola peninsula; town/area: khibina massif; mine/site: eveslogchoor mt.,1
state/country: california; county: san benito; town/area: clear creek drainage; mine/site: m t jeannes no. 1,1
state/country: italy; county: toscana; town/area: casa colina; mine/site: tosco pumice quarry,1
state/country: tajikistan; county: tien-shan; town/area: dura-i-poz; mine/site: n/a,1
state/country: new hampshire; county: grafton; town/area: north groton; mine/site: palermo quarry,1
state/country: pakistan; county: n/a; town/area: gilgut; mine/site: n/a,1
state/country: connecticut; county: middlesex; town/area: portland; mine/site: case quarry,1
state/country: russia; county: ural mts.; town/area: n/a; mine/site: n/a,1
state/country: south africa; county: north transvaal; town/area: gravelotte; mine/site: n/a,1
state/country: russia; county: middle urals; town/area: malyshevskoe; mine/site: n/a,1
state/country: michigan; county: n/a; town/area: upper peninsula; mine/site: n/a,1
state/country: california; county: san diego; town/area: mesa grande; mine/site: himalaya,1
state/country: utah; county: beaver; town/area: wah wah mts. ; mine/site: red beryl,1
state/country: norway; county: telemark; town/area: kragero; mine/site: sannidal,1
state/country: russia; county: kola peninsula; town/area: khibiny massif; mine/site: mt. rasvumchorr,1
state/country: japan; county: ehime prefecture; town/area: echi gun; mine/site: iwaki-shima islet,1
state/country: russia; county: kola peninsula; town/area: lovosero massif; mine/site: mt. alluaiv,1
"state/country: tajikistan; county: alayskiy range, s. tien-shan mts.; town/area: valley and gletcher; mine/site: dara-i-poiz alkaline massif",1
state/country: mexico; county: sonora; town/area: santa cruz; mine/site: n/a,1
state/country: wisconsin; county: florence; town/area: along pine river; mine/site: pine river pegmatite,1
state/country: brazil; county: minas gerias; town/area: n/a; mine/site: uhuru,1
state/country: brazil; county: watermelon; town/area: n/a; mine/site: n/a,1
state/country: brazil; county: minas gerias; town/area: sao jose da sefira; mine/site: laura do cruzeiro,1
state/country: california; county: riverside; town/area: bautista canyon; mine/site: n/a,1
state/country: michigan; county: marquette; town/area: champion; mine/site: beacon hill,1
state/country: mexico; county: sonora; town/area: milopilas; mine/site: n/a,1
state/country: afghanistan; county: n/a; town/area: nuristan; mine/site: n/a,1
state/country: new york; county: st. lawrence; town/area: richville; mine/site: n/a,1
state/country: brazil; county: minas gerias; town/area: escondido; mine/site: n/a,1
state/country: brazil; county: minas gerias; town/area: para iba; mine/site: n/a,1
state/country: china; county: xinjiang; town/area: autonomous region; mine/site: waziristan,1
state/country: new york; county: n/a; town/area: richville; mine/site: n/a,1
state/country: congo; county: n/a; town/area: renceville; mine/site: n/a,1
state/country: south africa; county: north cape province; town/area: kuruman district; mine/site: n/a,1
state/country: oregon; county: n/a; town/area: sisters; mine/site: sisters mtn.,1
state/country: alaska; county: prince of wales; town/area: prince of wales island; mine/site: n/a,1
state/country: virginia; county: loudon; town/area: n/a; mine/site: n/a,1
state/country: colorado; county: jefferson; town/area: n/a; mine/site: n/a,1
state/country: canada; county: ontario; town/area: parham; mine/site: lynx zinc,1
state/country: new york; county: essex; town/area: newcomb; mine/site: n/a,1
state/country: sri lanka; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: new york; county: n/a; town/area: west pierrepont; mine/site: n/a,1
state/country: canada; county: northwest territory; town/area: ekati mine area; mine/site: point lake kimberlite,1
state/country: montana; county: madison; town/area: silver star; mine/site: broadway,1
state/country: japan; county: okayama-ken; town/area: katsuyama-cho; mine/site: onagusa,1
state/country: arizona; county: graham; town/area: n/a; mine/site: n/a,1
state/country: mexico; county: oaxaca; town/area: oaxaca; mine/site: n/a,1
state/country: canada; county: ontario; town/area: wilberforce; mine/site: roadcut highway 648,1
"state/country: canada; county: ontario; town/area: dryden; mine/site: lun, mavis lake",1
state/country: afghanistan; county: n/a; town/area: laghman; mine/site: kunar,1
state/country: burma; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: burma; county: n/a; town/area: namshamaw; mine/site: maw-sit-sit (myanmar),1
state/country: california; county: lake; town/area: mt. st. helena; mine/site: mirabel springs,1
state/country: oregon; county: klamath; town/area: summit rock; mine/site: n/a,1
state/country: russia; county: kola peninsula; town/area: lovozero massif; mine/site: mt. flora,1
state/country: arizona; county: pima; town/area: n/a; mine/site: n/a,1
state/country: arizona; county: pinal; town/area: suizo; mine/site: azurite,1
state/country: maryland; county: montgomery; town/area: hunting hill; mine/site: n/a,1
state/country: norway; county: telemark; town/area: bamie; mine/site: n/a,1
state/country: austria; county: karnuten; town/area: brandricken; mine/site: n/a,1
"state/country: south dakota; county: lawrence; town/area: n/a; mine/site: homestake, 3,800 ft. level",1
state/country: south dakota; county: n/a; town/area: keystone; mine/site: n/a,1
state/country: michigan; county: marquette; town/area: n/a; mine/site: michigamme,1
state/country: sweden; county: hallefors; town/area: brunsjogrovan; mine/site: n/a,1
state/country: california; county: santa clara; town/area: san jose; mine/site: berryessa,1
state/country: nevada; county: humboldt; town/area: golconda; mine/site: riley,1
state/country: new york; county: st. lawrence; town/area: balmat; mine/site: arnold open pit,1
state/country: arizona; county: maricopa; town/area: n/a; mine/site: harquahala mts.,1
state/country: new york; county: n/a; town/area: pitcairn; mine/site: curtis farm,1
state/country: new york; county: st. lawrence; town/area: edwards; mine/site: n/a,1
state/country: new zealand; county: nelson; town/area: takaka; mine/site: canaan road,1
state/country: connecticut; county: litchfield; town/area: canaan; mine/site: n/a,1
state/country: new york; county: n/a; town/area: talcville; mine/site: n/a,1
state/country: arizona; county: maricopa; town/area: harquahala mts. ; mine/site: sunset south,1
state/country: new jersey; county: sussex; town/area: ogdensberg; mine/site: roadcut at sterling hill,1
state/country: iowa; county: lucas; town/area: n/a; mine/site: n/a,1
state/country: norway; county: langesundfjord; town/area: barkevik; mine/site: n/a,1
state/country: michigan; county: dickinson; town/area: randville; mine/site: six mile lake formation,1
state/country: arizona; county: mojave; town/area: n/a; mine/site: boulder dam,1
state/country: california; county: san benito; town/area: panocha pass; mine/site: n/a,1
state/country: sweden; county: ostergotsland; town/area: norra kaar; mine/site: n/a,1
state/country: colorado; county: el paso; town/area: n/a; mine/site: st. peters dome,1
state/country: massachusetts; county: norfolk; town/area: quincy; mine/site: old colony quarry,1
state/country: south africa; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: sweden; county: granna; town/area: norra karr; mine/site: n/a,1
state/country: norway; county: sandeford; town/area: vora; mine/site: n/a,1
state/country: germany; county: eifel; town/area: nichenich; mine/site: n/a,1
state/country: madagascar; county: tulear; town/area: 20 km e. of hrongay; mine/site: n/a,1
state/country: california; county: mendocino; town/area: laytonville; mine/site: laytonville quarry,1
state/country: california; county: mendocino; town/area: longvale; mine/site: n/a,1
state/country: california; county: n/a; town/area: holcomb valley; mine/site: n/a,1
state/country: borneo; county: bau sarawak; town/area: n/a; mine/site: n/a,1
state/country: indonesia; county: sarawak; town/area: n/a; mine/site: sarabou mine,1
state/country: california; county: san bernardino; town/area: cushenbury grade; mine/site: haynes property past adit,1
"state/country: california; county: san bernardino; town/area: lucerne valley; mine/site: 5500 ft. bench, white knob quarry",1
state/country: japan; county: hokkaido; town/area: utonai; mine/site: n/a,1
state/country: canada; county: quebec; town/area: mont st. hilaire; mine/site: n/a,1
state/country: arkansas; county: garland; town/area: n/a; mine/site: wilson mineral springs,1
state/country: california; county: riverside; town/area: jurupa mts. ; mine/site: n/a,1
state/country: russia; county: yakutia; town/area: obekmisnsk; mine/site: muruu massif,1
state/country: germany; county: lower saxony; town/area: bramburg (near gottingen); mine/site: ltos,1
state/country: canada; county: newfoundland; town/area: point shivery; mine/site: n/a,1
state/country: arizona; county: gila; town/area: n/a; mine/site: christmas,1
state/country: russia; county: siberia; town/area: aldan; mine/site: chara river,1
state/country: greenland; county: n/a; town/area: julianehab; mine/site: igdlutalik,1
state/country: greenland; county: n/a; town/area: ilimaussaq; mine/site: naujakasik,1
state/country: nevada; county: humboldt; town/area: golconda; mine/site: n/a,1
state/country: massachusetts; county: hampden; town/area: west springfield; mine/site: hampden quarry,1
state/country: california; county: trinity; town/area: n/a; mine/site: hale creek,1
state/country: china; county: hubei; town/area: da ye; mine/site: feng jai shan,1
state/country: brazil; county: minas gerias; town/area: galileia; mine/site: urucum,1
state/country: washington; county: okanogan; town/area: washington pass; mine/site: kangaroo ridge,1
state/country: tajikistan; county: n/a; town/area: darian-pioz; mine/site: n/a,1
state/country: japan; county: aichi prefecture; town/area: shidara; mine/site: n/a,1
state/country: australia; county: western australia; town/area: londonderry; mine/site: n/a,1
state/country: norway; county: langesundfjord; town/area: aroy; mine/site: n/a,1
state/country: new jersey; county: passaic; town/area: paterson; mine/site: upper new street quarry,1
state/country: morocco; county: n/a; town/area: near bou akfa; mine/site: anti-atlas mts.,1
state/country: wisconsin; county: douglas; town/area: south range; mine/site: south range quarry,1
state/country: mali; county: sandare district; town/area: diako; mine/site: n/a,1
state/country: minnesota; county: lake; town/area: highway 61; mine/site: north cut silver creek tunnel,1
"state/country: michigan; county: keweenaw; town/area: copper falls mine; mine/site: surface silver locality, see minrecord article by don olson",1
state/country: india; county: n/a; town/area: bombay; mine/site: n/a,1
state/country: india; county: maharashtra; town/area: malad; mine/site: n/a,1
state/country: maine; county: york; town/area: biddeford; mine/site: clifford park,1
state/country: tajikistan; county: tien-shan mts. ; town/area: dara-i-pioz; mine/site: n/a,1
state/country: michigan; county: keeweenaw; town/area: n/a; mine/site: phoenix,1
state/country: wisconsin; county: douglas; town/area: n/a; mine/site: buckley quarry,1
state/country: russia; county: boundary sakha-yakutia; town/area: olekminsk (100 km s. of); mine/site: murum massif,1
state/country: nevada; county: esmeralda; town/area: coaldale; mine/site: columbus marsh,1
state/country: italy; county: n/a; town/area: rome; mine/site: osa quarry,1
state/country: italy; county: latium; town/area: valle biachella; mine/site: n/a,1
state/country: montana; county: park; town/area: livingston; mine/site: n/a,1
state/country: new york; county: st.lawrence; town/area: edwards; mine/site: n/a,1
state/country: new york; county: st. lawrence; town/area: balmat; mine/site: gouverneur talc co.,1
state/country: california; county: san bernardino; town/area: shoshone; mine/site: n/a,1
state/country: california; county: los angeles; town/area: catalina island; mine/site: airport,1
state/country: california; county: mariposa; town/area: indian gulch; mine/site: tres cerritos,1
state/country: colorado; county: san miguel; town/area: placerville; mine/site: vanadium,1
state/country: new york; county: monroe; town/area: rochester; mine/site: n/a,1
state/country: new mexico; county: rio arriba (?); town/area: petaca; mine/site: n/a,1
state/country: california; county: mariposa; town/area: n/a; mine/site: n/a,1
state/country: brazil; county: bahia; town/area: anage; mine/site: n/a,1
state/country: vermont; county: n/a; town/area: gassetts; mine/site: n/a,1
state/country: new york; county: n/a; town/area: adriondack mtns.; mine/site: n/a,1
state/country: brazil; county: minas gerias; town/area: n/a; mine/site: emerald,1
state/country: michigan; county: dickson ; town/area: randville; mine/site: n/a,1
state/country: canada; county: ontario; town/area: faraday; mine/site: silver crater,1
state/country: france; county: n/a; town/area: mont d'or; mine/site: n/a,1
state/country: canada; county: quebec; town/area: muddersfield; mine/site: n/a,1
state/country: canada; county: ontario; town/area: godfrey; mine/site: westportroadcut,1
state/country: brazil; county: minas gerias; town/area: arassuai; mine/site: n/a,1
state/country: greenland; county: n/a; town/area: iimaussaq; mine/site: kvanefjeld,1
state/country: brazil; county: minas gerias; town/area: conselheiro pina; mine/site: n/a,1
state/country: new jersey; county: monmouth; town/area: n/a; mine/site: beers,1
state/country: wisconsin; county: green; town/area: n/a; mine/site: n/a,1
state/country: california; county: mendicino; town/area: longvale; mine/site: n/a,1
state/country: michigan; county: iron; town/area: crystal falls; mine/site: paint river - 800 ft. downstream of city dam,1
state/country: switzerland; county: n/a; town/area: grisons; mine/site: val d'orr,1
state/country: russia; county: kola peninsula; town/area: khibina massif; mine/site: n/a,1
state/country: russia; county: sakha yakutia; town/area: olekminsk; mine/site: murum massif,1
state/country: wyoming; county: n/a; town/area: bentonite spur; mine/site: n/a,1
state/country: california; county: los angeles; town/area: n/a; mine/site: griffith park,1
state/country: nevada; county: humboldt; town/area: denio; mine/site: n/a,1
state/country: california; county: calaveras; town/area: murphys; mine/site: n/a,1
state/country: turkey; county: anatolia; town/area: erezrum; mine/site: n/a,1
state/country: czechoslovakia; county: n/a; town/area: mnisck; mine/site: n/a,1
state/country: france; county: lodeve; town/area: d'alary; mine/site: n/a,1
state/country: colorado; county: ouray; town/area: n/a; mine/site: national belle,1
state/country: california; county: amador; town/area: lone; mine/site: n/a,1
state/country: sweden; county: varmland; town/area: pajsberg; mine/site: harstigen,1
state/country: romania; county: kisbanya; town/area: n/a; mine/site: n/a,1
state/country: montana; county: missoula; town/area: missoula; mine/site: n/a,1
state/country: california; county: tuolumne; town/area: jamestown; mine/site: rawhide,1
state/country: north carolina; county: clay; town/area: n/a; mine/site: n/a,1
state/country: maryland; county: cecil; town/area: n/a; mine/site: lowes,1
state/country: arizona; county: gila; town/area: n/a; mine/site: n/a,1
state/country: california; county: san benito; town/area: n/a; mine/site: new idria,1
state/country: canada; county: quebec; town/area: megantic co.; mine/site: thetford,1
state/country: arizona; county: grand canyon; town/area: colorado river; mine/site: (mile 132) contact zone diabase - stone creek,1
state/country: new zealand; county: nelson; town/area: takaka; mine/site: upper takaka valley,1
state/country: arizona; county: gila; town/area: globe-sholow hwy; mine/site: salt river canyon,1
state/country: norway; county: n/a; town/area: snarum; mine/site: n/a,1
state/country: california; county: mendicino; town/area: laytonville; mine/site: laytonville quarry,1
state/country: sweden; county: varmland; town/area: harstigen; mine/site: harastig,1
state/country: arizona; county: pinal; town/area: florence; mine/site: n/a,1
state/country: congo; county: katanga; town/area: lubumbashi; mine/site: n/a,1
state/country: arizona; county: pinal; town/area: ray; mine/site: kennecott copper corp,1
state/country: arizona; county: pinal; town/area: globe; mine/site: n/a,1
state/country: michigan; county: keweenaw; town/area: bumbletown; mine/site: allouez #1,1
state/country: minnesota; county: lake; town/area: 1/4 mile n of hwy 61; mine/site: knife river,1
state/country: chile; county: n/a; town/area: diego de almagro; mine/site: manto tres avacias mine,1
state/country: california; county: santa cruz; town/area: santa cruz; mine/site: miller quarry,1
state/country: india; county: maharashtra; town/area: bombay; mine/site: n/a,1
state/country: canada; county: quebec; town/area: villedieu township; mine/site: kipawa complex,1
